created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2025-12-01T23:09:48+00:00,1,30.48,51.23,948.15,556.64,,,,
2025-12-01T23:10:48+00:00,2,30.46,51.42,948.23,555.96,,,,
2025-12-01T23:11:48+00:00,3,30.48,51.28,948.29,555.42,,,,
2025-12-01T23:12:48+00:00,4,30.51,51.44,948.37,554.72,,,,
2025-12-01T23:13:48+00:00,5,30.55,51.29,948.40,554.51,,,,
2025-12-01T23:14:48+00:00,6,30.57,51.82,948.44,554.15,,,,
2025-12-01T23:15:48+00:00,7,30.61,51.41,948.48,553.81,,,,
2025-12-01T23:16:48+00:00,8,30.66,51.97,948.50,553.57,,,,
2025-12-01T23:17:48+00:00,9,30.70,51.48,948.54,553.27,,,,
2025-12-01T23:18:48+00:00,10,30.77,51.95,948.58,552.91,,,,
2025-12-01T23:19:48+00:00,11,30.80,52.32,948.60,552.76,,,,
2025-12-01T23:20:50+00:00,12,30.83,52.42,948.60,552.68,,,,
2025-12-01T23:21:48+00:00,13,30.86,52.32,948.63,552.43,,,,
2025-12-01T23:22:48+00:00,14,30.86,52.65,948.65,552.27,,,,
2025-12-01T23:23:48+00:00,15,30.85,52.98,948.68,552.01,,,,
2025-12-01T23:24:50+00:00,16,30.86,53.15,948.70,551.84,,,,
2025-12-01T23:25:48+00:00,17,30.79,52.78,948.69,551.90,,,,
2025-12-01T23:26:48+00:00,18,30.65,52.39,948.71,551.74,,,,
2025-12-01T23:27:49+00:00,19,30.54,52.03,948.72,551.71,,,,
2025-12-01T23:28:48+00:00,20,30.47,51.98,948.71,551.75,,,,
2025-12-01T23:29:49+00:00,21,30.40,52.19,948.75,551.43,,,,
2025-12-01T23:30:49+00:00,22,30.40,52.13,948.75,551.41,,,,
2025-12-01T23:31:49+00:00,23,30.27,52.53,948.79,551.06,,,,
2025-12-01T23:32:49+00:00,24,30.08,52.97,948.84,550.65,,,,
2025-12-01T23:33:49+00:00,25,29.90,53.38,948.91,549.99,,,,
2025-12-01T23:34:49+00:00,26,29.65,54.10,948.85,550.51,,,,
2025-12-01T23:35:51+00:00,27,29.31,54.70,948.87,550.37,,,,
2025-12-01T23:36:49+00:00,28,29.04,55.42,948.87,550.33,,,,
2025-12-01T23:37:49+00:00,29,28.96,55.68,948.89,550.14,,,,
2025-12-01T23:38:49+00:00,30,28.87,55.95,948.98,549.38,,,,
2025-12-01T23:39:52+00:00,31,28.59,56.75,949.01,549.09,,,,
2025-12-01T23:40:49+00:00,32,28.55,57.05,948.99,549.33,,,,
2025-12-01T23:41:49+00:00,33,28.62,56.87,949.03,548.93,,,,
2025-12-01T23:42:52+00:00,34,28.49,57.25,949.02,549.00,,,,
2025-12-01T23:43:49+00:00,35,28.52,57.23,949.03,548.98,,,,
2025-12-01T23:44:49+00:00,36,28.42,57.42,949.11,548.25,,,,
2025-12-01T23:45:49+00:00,37,28.27,57.83,949.08,548.47,,,,
2025-12-01T23:46:52+00:00,38,28.31,57.71,949.11,548.23,,,,
2025-12-01T23:47:49+00:00,39,28.28,57.69,949.14,547.94,,,,
2025-12-01T23:48:52+00:00,40,28.32,57.63,949.13,548.10,,,,
2025-12-01T23:49:50+00:00,41,28.32,57.61,949.19,547.58,,,,
2025-12-01T23:50:50+00:00,42,28.28,57.65,949.32,546.40,,,,
2025-12-01T23:51:50+00:00,43,28.14,57.98,949.29,546.69,,,,
2025-12-01T23:52:50+00:00,44,28.05,58.30,949.30,546.55,,,,
2025-12-01T23:53:50+00:00,45,28.04,58.28,949.27,546.80,,,,
2025-12-01T23:54:50+00:00,46,28.02,58.32,949.28,546.79,,,,
2025-12-01T23:55:50+00:00,47,28.14,57.94,949.27,546.88,,,,
2025-12-01T23:56:50+00:00,48,28.14,57.83,949.27,546.81,,,,
2025-12-01T23:57:50+00:00,49,28.03,58.17,949.24,547.11,,,,
2025-12-01T23:58:50+00:00,50,28.14,57.83,949.21,547.39,,,,
2025-12-01T23:59:52+00:00,51,28.12,57.90,949.22,547.30,,,,
2025-12-02T00:00:50+00:00,52,28.06,58.00,949.18,547.66,,,,
2025-12-02T00:01:52+00:00,53,27.94,58.32,949.13,548.10,,,,
2025-12-02T00:02:50+00:00,54,28.02,58.18,949.08,548.51,,,,
2025-12-02T00:03:50+00:00,55,28.20,57.75,949.08,548.47,,,,
2025-12-02T00:04:50+00:00,56,28.14,57.90,949.07,548.59,,,,
2025-12-02T00:05:50+00:00,57,28.18,57.76,949.12,548.18,,,,
2025-12-02T00:06:50+00:00,58,28.15,57.87,949.16,547.84,,,,
2025-12-02T00:07:50+00:00,59,28.09,58.00,949.21,547.34,,,,
2025-12-02T00:08:50+00:00,60,27.98,58.18,949.25,547.01,,,,
2025-12-02T00:09:50+00:00,61,27.94,58.38,949.29,546.69,,,,
2025-12-02T00:10:50+00:00,62,28.02,58.22,949.30,546.55,,,,
2025-12-02T00:11:53+00:00,63,28.13,58.00,949.33,546.27,,,,
2025-12-02T00:12:50+00:00,64,28.15,57.93,949.35,546.13,,,,
2025-12-02T00:13:50+00:00,65,28.06,58.18,949.34,546.22,,,,
2025-12-02T00:14:51+00:00,66,28.10,58.20,949.32,546.38,,,,
2025-12-02T00:15:50+00:00,67,28.04,58.20,949.31,546.45,,,,
2025-12-02T00:16:50+00:00,68,28.07,58.64,949.32,546.42,,,,
2025-12-02T00:17:51+00:00,69,28.13,58.24,949.33,546.31,,,,
2025-12-02T00:18:51+00:00,70,28.02,58.27,949.32,546.43,,,,
2025-12-02T00:19:51+00:00,71,27.93,58.53,949.32,546.41,,,,
2025-12-02T00:20:51+00:00,72,27.92,58.60,949.37,545.96,,,,
2025-12-02T00:21:51+00:00,73,28.00,58.38,949.42,545.56,,,,
2025-12-02T00:22:54+00:00,74,28.11,58.13,949.43,545.40,,,,
2025-12-02T00:23:51+00:00,75,28.10,58.14,949.46,545.15,,,,
2025-12-02T00:24:51+00:00,76,28.08,58.19,949.48,545.02,,,,
2025-12-02T00:25:51+00:00,77,28.13,57.99,949.49,544.92,,,,
2025-12-02T00:26:51+00:00,78,28.19,58.24,949.48,544.99,,,,
2025-12-02T00:27:54+00:00,79,28.27,58.00,949.50,544.83,,,,
2025-12-02T00:28:51+00:00,80,28.15,58.00,949.49,544.90,,,,
2025-12-02T00:29:51+00:00,81,28.08,58.04,949.49,544.91,,,,
